Velocity(km/s),Flux(Normalized),Error(1sigma)
-2000,1.0574853634067316,inf
-1975,0.7993653623920814,inf
-1950,0.7755134880790775,inf
-1925,1.1167113337370593,inf
-1900,1.2527431135811802,inf
-1875,1.241886101905731,inf
-1850,1.2535064302165762,inf
-1825,1.0830741394830072,inf
-1800,1.2541890623958347,inf
-1775,1.2418741031623655,inf
-1750,1.0595386177117634,inf
-1725,1.2222661283161425,inf
-1700,0.9824589923558223,inf
-1675,1.292365370767519,inf
-1650,0.9904724493199727,inf
-1625,0.9989955855053027,inf
-1600,0.8177033863238632,inf
-1575,1.0158424053328206,inf
-1550,1.1976582097995474,inf
-1525,1.3900315053777461,inf
-1500,1.5777653274406627,inf
-1475,1.2565825856391966,inf
-1450,0.701893725100068,inf
-1425,0.30736209064301834,inf
-1400,0.10897768068257163,inf
-1375,0.49894466633225254,inf
-1350,1.0276767545283207,inf
-1325,1.2275625476696472,inf
-1300,1.1330351291553777,inf
-1275,0.8863393673077942,inf
-1250,0.4270245314281231,inf
-1225,0.48018174383246187,inf
-1200,0.5932309088711821,inf
-1175,0.9883663188249061,inf
-1150,0.9635449669266865,inf
-1125,0.732060242056552,inf
-1100,0.9171597066064886,inf
-1075,0.7677436543003457,inf
-1050,0.8433874810817971,inf
-1025,0.8694574901305641,inf
-1000,0.6053895682815262,inf
-975,0.6514492432587634,inf
-950,0.6146755543601905,inf
-925,0.9490370634593653,inf
-900,1.2780469548492388,inf
-875,1.0901302204154548,inf
-850,1.1645866580362798,inf
-825,0.7298446777377977,inf
-800,0.4056674917172067,inf
-775,0.6069985538639708,inf
-750,0.3710920884955748,inf
-725,0.4746410082299343,inf
-700,0.5672460529239383,inf
-675,0.08139920973836534,inf
-650,0.17192503863612305,inf
-625,0.5050080209582873,inf
-600,0.5929075268209957,inf
-575,0.8182016201047276,inf
-550,0.5683154817778843,inf
-525,0.5028691861477711,inf
-500,0.2860598720569238,inf
-475,0.4416372333488154,inf
-450,0.49487258739150103,inf
-425,0.5696924510504232,inf
-400,0.8128310531903704,inf
-375,0.8777418064587937,inf
-350,1.0994521735523746,inf
-325,0.867886629651523,inf
-300,0.8050604706199069,0.3012497444236272
-275,0.7445782872058602,0.2993345858990207
-250,0.4590421987332222,0.29818304808802765
-225,0.6008768458818258,0.2995062527882536
-200,0.5780022555828462,0.3023371167395936
-175,0.40410971092055314,0.3045589615730162
-150,0.3977902870529663,0.3061398227568144
-125,0.2561138102836425,0.30486994333068296
-100,0.44541228796262305,0.3031979176356161
-75,0.4451996089672158,0.3010181534180264
-50,0.3296144403189132,0.2995792655817393
-25,0.10132137868544164,0.3007962197991928
0,0.2133268847092956,0.30254647871181756
25,0.29532577393406867,0.3030671543433895
50,0.7414548743361113,0.3037907042435839
75,0.8103841426631798,0.30166813730205894
100,0.8922794921258699,0.30211696724038023
125,1.2480517344050477,0.30600695557455293
150,1.3182626211514954,0.3075332597265071
175,1.4277845769517237,0.3085717257070957
200,1.3213538005326009,0.3058214747077962
225,1.412136061509663,0.3041225051548669
250,1.2813774266708036,0.305418435868715
