Velocity(km/s),Flux(Normalized),Error(1sigma)
-2000,1.064435922577434,0.10339975333371798
-1975,0.9398899113285831,0.10376426389250089
-1950,1.0330983853994293,0.10444596881919992
-1925,0.9887989481477589,0.1040668516342929
-1900,1.0870116025022036,0.10397181735495803
-1875,1.1634112727344335,0.10355172127815164
-1850,1.1595404721248734,0.1031097702069341
-1825,1.1052281875903083,0.1032315146044747
-1800,0.956410041250465,0.102683731795365
-1775,0.9284153085779241,0.10196254247826202
-1750,1.0620432702610663,0.10171595052886835
-1725,1.1274711721136252,0.10211620235882096
-1700,1.0057373627978754,0.10171032532446322
-1675,0.9383753232058825,0.10159065190662274
-1650,0.9749063206106627,0.10190717503120844
-1625,1.0530980344242902,0.10247680787366942
-1600,0.9919661071207517,0.10217584332425249
-1575,1.0117661235745135,0.10199952306806477
-1550,1.0985519620865793,0.10194236124291522
-1525,1.080164484005708,0.10113523389556899
-1500,0.9500052507549304,0.10038327702296514
-1475,0.8575267204204426,0.09961629732344125
-1450,0.974804256125515,0.09972493307358551
-1425,0.8349748200318994,0.09917901004124496
-1400,0.9684394301671728,0.09927524716931996
-1375,1.0525496767190095,0.0991974565381176
-1350,1.1487430199539954,0.09921007448926998
-1325,0.9648866493344901,0.0994442442268892
-1300,0.8721122386524622,0.10006232040664555
-1275,1.0481465124514802,0.10360880521025048
-1250,0.9517915239812281,0.10483071240143818
-1225,0.8353028104513974,0.10393889344824936
-1200,0.945294537724865,0.10397824882357327
-1175,0.8457775630526221,0.10429424689345293
-1150,1.144758591566826,0.10593875157865375
-1125,0.9483713927679185,0.10693497996627767
-1100,1.0959585356080133,0.1079473864504368
-1075,1.202056325218824,0.10853412707568606
-1050,1.1286814430994212,0.10784625943808035
-1025,1.2856818930603382,0.10709883180770019
-1000,1.048563089989545,0.10475176632843512
-975,1.0555648965920554,0.10371654936468834
-950,1.0534985693333265,0.1029062608169637
-925,1.0898211536100235,0.10313325579091263
-900,0.9217990491355642,0.10314498841088073
-875,1.2437163278992023,0.10645421041118693
-850,1.0811094545441937,0.10902638447978544
-825,1.0013226258289774,0.11032003966843043
-800,0.8659762929496309,0.11072010790325804
-775,0.9213022019596854,0.11070435616181658
-750,0.9297523366822618,0.10856677638624081
-725,1.0018235104475868,0.10502896259626296
-700,1.006081583350589,0.10332661826367141
-675,1.1617798463277147,0.10300471149410058
-650,1.0279670139246975,0.10239855830966181
-625,1.1130417537514306,0.10149259863631853
-600,0.9618759555647818,0.10153814428349087
-575,1.08121597592892,0.10174403386594365
-550,0.937748009100358,0.10185442049841811
-525,0.9495131863844275,0.10157195310026644
-500,0.9917774407364367,0.10175581991128176
-475,0.8277497633404036,0.10160239483744671
-450,0.9795816726537624,0.10184966775761362
-425,0.9912425321735338,0.101756420772803
-400,1.1359866956870845,0.10205310759535448
-375,1.141051046620497,0.10180673425272108
-350,1.1197920026887738,0.10185586058209349
-325,1.0840735352695963,0.10161105218479
-300,1.037798353631788,0.10121834815331536
-275,0.9123542512100867,0.10061893155933385
-250,1.0189786111557346,0.1003725142481956
-225,0.9889325699934167,0.10030829461551452
-200,0.9753047671893554,0.1001864907900694
-175,0.8908197235070896,0.10061534933404609
-150,0.874886554439234,0.09981164293545866
-125,0.7507869517511313,0.09956016839006536
-100,0.7709300405476888,0.09884455959048685
