Velocity(km/s),Flux(Normalized),Error(1sigma)
-1600,0.830789136037253,inf
-1575,0.8302225526075903,inf
-1550,0.8646403146940279,inf
-1525,0.8922832231868124,inf
-1500,0.9935943012766117,inf
-1475,0.9914263990300701,inf
-1450,1.0224573590737478,inf
-1425,1.0925863208727555,inf
-1400,1.0756831585666775,inf
-1375,1.0320981047768427,inf
-1350,1.0568324119372488,inf
-1325,1.0674851699565344,inf
-1300,1.0120071321637816,inf
-1275,1.0064056987233883,inf
-1250,0.989248387188409,inf
-1225,1.0076671957417318,inf
-1200,0.9356510320069018,inf
-1175,0.9680013185088409,inf
-1150,0.9334386424415505,inf
-1125,0.8675394561611148,inf
-1100,0.7815973415947033,inf
-1075,0.8239853161053279,inf
-1050,0.8202169223443347,inf
-1025,0.8083498550431378,inf
-1000,0.8275240029539588,inf
-975,0.8346856804533953,inf
-950,0.8730992912194989,inf
-925,0.875842151946401,inf
-900,0.8171896331963505,inf
-875,0.8356283723117557,inf
-850,0.8653894486077548,inf
-825,0.8554542054478396,inf
-800,0.87014413250047,0.08691348112235908
-775,0.8657330600779753,0.0868421528541275
-750,0.9033457931388256,0.08688626099179171
-725,0.9398449889447718,0.08702433526816007
-700,0.9743465925192265,0.08720245322957075
-675,0.976736585686287,0.08736028523230431
-650,0.964204956268818,0.08757148271570338
-625,1.042028722361889,0.08775756412244251
-600,1.0179430053439136,0.08769059765246322
-575,1.0428239667999224,0.0878652816732476
-550,0.9886081665591108,0.08791276421068674
-525,0.9445966909247412,0.0878212945370738
-500,0.9617339857915185,0.08778047361761764
-475,0.9387865646498657,0.08771478278843801
-450,0.8858597772808852,0.08753021105476363
-425,0.8437260270953726,0.08745255971806241
-400,0.8160181614063589,0.08745155050260198
-375,0.7330042488987932,0.08739616557870633
-350,0.7084166850583606,0.08713143052842988
-325,0.6241610635096586,0.08671159118350089
-300,0.5837319453906489,0.08641510333560838
-275,0.5424255575377783,0.08629771228128881
-250,0.4761237744905517,0.08620222013169344
-225,0.454299366520818,0.08621168227047159
-200,0.41829932153054883,0.08618804738484673
-175,0.40640320972725863,0.08622598873239327
-150,0.45395955373146785,0.08645714161298235
-125,0.4828754574947132,0.08707124809498823
-100,0.5113727619212282,0.08780913555348153
-75,0.5633695852065018,0.08846545016162835
-50,0.6250685664592336,0.08884651549167774
-25,0.7095282777405955,0.08923296293714683
0,0.7991332027515246,0.08951924595109198
25,0.9271482557066942,0.08984806571570397
50,1.0366071897585136,0.09018511708666788
75,1.0379050847212916,0.0903580288910227
100,1.0686412071340676,0.09071855508247435
125,1.0887009332012885,0.09142074110161821
150,1.1488684135017597,0.09215823539809857
175,1.0882276392358887,0.09257617771189264
200,1.0187215284982654,0.09256577143341459
225,1.068595221644061,0.09293795229981604
250,1.0438511033574291,0.09321219653551419
275,1.0281117287413695,0.09313761266435237
300,1.0701089053459325,0.09262029161492519
325,1.1496703259823668,inf
350,1.0451628149913845,inf
375,0.9299493108781085,inf
400,0.8911822268031271,inf
425,0.9085148270099684,inf
450,0.8807431527637127,inf
475,0.8833742508710168,inf
500,0.9290724883526182,inf
525,0.9548631044370789,inf
550,0.9810945652909343,inf
575,1.018114543264829,inf
600,1.1237124929020106,inf
625,1.0926322840414142,inf
650,1.1092376230007428,inf
675,1.0715500312756028,inf
700,1.0197936439073847,inf
725,0.9818491348484291,inf
750,0.8747450061046376,inf
775,1.3188085566086514,inf
800,1.2470465439852936,inf
825,1.194440362590133,inf
850,1.0770809411414461,inf
875,1.0729630764552167,inf
900,1.0694631225140054,inf
925,1.088436836891069,inf
950,1.1123042866858208,inf
975,1.1461627807822672,inf
1000,1.1272659430800238,inf
1025,1.1051891883806295,inf
1050,1.1834294542396984,inf
1075,1.2648040121741153,inf
1100,1.339996206357554,inf
1125,1.3910113276946072,inf
1150,1.3905585120005097,inf
1175,1.3410449738690833,inf
1200,1.4390318011175265,inf
1225,1.4420146891897343,inf
1250,1.483140614130596,inf
1275,1.4794857308592582,inf
1300,1.3710375524423375,inf
1325,1.3482948803885988,inf
1350,1.2518047572245614,inf
1375,1.2669633529158808,inf
1400,1.2641311934587034,inf
1425,1.2689472664739205,inf
1450,1.247775064740371,inf
1475,1.246526170390183,inf
1500,1.2222803565282734,inf
1525,1.1477433778501502,inf
1550,1.150863056242446,inf
1575,1.0938258520627533,inf
