Velocity(km/s),Flux(Normalized),Error(1sigma)
-1400,0.973704568242962,inf
-1375,1.1182360852813569,inf
-1350,1.1174027304421372,inf
-1325,1.102297351251292,inf
-1300,1.0603870109082008,inf
-1275,1.0121521790028,inf
-1250,1.0027439641119615,inf
-1225,1.0363640025883425,inf
-1200,1.062745563295557,inf
-1175,1.1872225861102152,inf
-1150,1.2065119375156999,inf
-1125,1.1917932135414389,inf
-1100,1.1000230040838161,inf
-1075,1.0355012773986423,inf
-1050,1.0470200378120769,inf
-1025,1.0318561473295642,inf
-1000,1.0845854598085134,inf
-975,1.15686495385791,inf
-950,1.1847574544732544,inf
-925,1.1776902999800245,inf
-900,1.133374694767227,inf
-875,1.0554206254568765,inf
-850,1.0157555297803713,inf
-825,0.9972560358880384,inf
-800,1.0201181289268069,0.06147198025102252
-775,1.080589097882478,0.06316636446718962
-750,1.1183948996265713,0.06456075300147868
-725,1.1477511508952052,0.06507521093972896
-700,1.0882438752812174,0.06433030616989083
-675,0.8784488844437257,0.06563206108551464
-650,0.7913880376769988,0.07065810875703218
-625,0.7305060773538228,0.0822015071770474
-600,0.6018567766194387,0.10796199199126552
-575,1.0838359998660663,0.15672205915187146
-550,1.1065370426492784,0.19623368114783174
-525,0.8845554367863526,0.13592631638561656
-500,0.9457815781695162,0.09860105850911177
-475,0.8697455006917714,0.07854811159045604
-450,0.8098189020227203,0.0668057004763094
-425,0.7877833984933567,0.06235353142535165
-400,0.6846494703577702,0.06049997358981687
-375,0.6827717402493566,0.06181384679637502
-350,0.733790415586556,0.06516830763271929
-325,0.752052093030727,0.0686037348277766
-300,0.7793874436729431,0.06952365235402747
-275,0.8212705453723658,0.07043989103277452
-250,0.7869633312901136,0.07656866082080983
-225,0.735331000003998,0.0862293770522132
-200,0.7962639075048628,0.10860792362134082
-175,0.7461135862547709,0.11686511823418295
-150,0.7598201837054218,0.08810490924512651
-125,0.7508256842009736,0.07247065468059166
-100,0.7280750228436037,0.06296942469812182
-75,0.7326100090583346,0.05908044757122301
-50,0.7244651293905272,0.05918766701303996
-25,0.7236645176378692,0.059179905084875487
0,0.742819286901352,0.059181755437023385
25,0.7499943000159607,0.05915127601833167
50,0.7583152156551184,0.058958002183861165
75,0.7663725518250701,0.05901058680200042
100,0.8479110321845671,0.06010777410739825
125,0.9435893672589323,0.061671361966213534
150,1.0570783680727776,0.06317486104535275
175,1.1034344000596992,0.06365184762366556
200,1.10662293124907,0.06333338288105171
225,1.0397049774942488,0.06300164056400837
250,0.8306178375380882,0.06566788048806609
275,0.9192347947656855,0.07336716672154663
300,0.955975210379365,0.08500723706309624
325,0.935493965788239,0.0975000601226607
350,0.9868303040971385,0.09241677377546981
375,0.8426791200433799,0.07825611039291865
400,0.8551063393510023,0.06841035309661453
425,0.8639970875324153,0.062161473899481366
450,1.0130901642043164,0.059890678025119104
475,1.0436953923752044,0.059736966952201105
500,1.0587294098457198,0.060440880894674996
525,1.069173525620432,0.06528267121625513
550,1.076564828087417,0.0750206066694103
575,1.0962471847814297,0.09047680552698227
600,1.0720747080012507,0.10844482210152982
625,1.0762948216593426,0.0962850839544168
650,1.0352597371881396,0.07934343018793617
675,1.0335733489542276,0.06911348746893121
700,1.0079292827158322,0.06301719196519938
725,1.0211896695072091,0.06294229686115958
750,1.046655688294034,0.06441453673676599
775,1.0401253949411415,0.0658895988859633
800,1.0872240635645265,0.06734146227174653
825,1.04277006660719,inf
850,1.0635946146332986,inf
875,1.0363219585139751,inf
900,1.0077836768287574,inf
925,0.9809507664861397,inf
950,0.9954316772199878,inf
975,1.0134091047585783,inf
1000,1.0567786412528841,inf
1025,1.0568999327391062,inf
1050,1.0333415831039419,inf
1075,0.9960345356923803,inf
1100,0.9407152043649787,inf
1125,0.9274361288347593,inf
1150,0.8146349594019855,inf
1175,0.7573263356190534,inf
1200,0.7360394281039162,inf
1225,0.7310271744182476,inf
1250,0.7093443751087226,inf
1275,0.6943885438491783,inf
1300,0.6835568776182187,inf
1325,0.7015837618766015,inf
1350,0.6736303219840509,inf
1375,0.6489581759088584,inf
