Velocity(km/s),Flux(Normalized),Error(1sigma)
-2000,0.9826438737537045,0.04071960830792286
-1975,1.0184378038173385,0.04074114105891663
-1950,1.0094470743184767,0.04077860969278984
-1925,1.0144392453583353,0.04095684116601622
-1900,1.0202834547827544,0.041179734003843116
-1875,0.985557061454099,0.04133233751923659
-1850,1.000988077743564,0.04164405902418817
-1825,1.043688936387665,0.04188000733077539
-1800,1.0450150955467625,0.041981306596943366
-1775,1.020620305261005,0.042015663849966904
-1750,1.0068619615847596,0.041887467244095304
-1725,0.9800336286539225,0.04163510668155484
-1700,0.9417386086820259,0.04132114241073153
-1675,0.9361749616120394,0.04108309990524155
-1650,0.9157927957775752,0.04096202922266241
-1625,0.9008039142788277,0.041080621217474536
-1600,0.9278342286577916,0.041452121685994055
-1575,0.9738097784680788,0.04197790030362042
-1550,0.999011922256436,0.042549936308099515
-1525,1.0263365264033406,0.042977076190149475
-1500,0.9934974170312035,0.042942824465773015
-1475,0.9872421582788548,0.042659528620415374
-1450,0.9822773949534489,0.042119636038221775
-1425,0.985903677515715,0.04148295322457282
-1400,0.9900300764842388,0.040984509548248844
-1375,0.9708164346230274,0.04062939921712331
-1350,0.9261798036650952,0.04026779211463782
-1325,0.8643758646206436,0.03983079085500569
-1300,0.8740152714466162,0.03959788431116402
-1275,0.890995203091554,0.039541672691001534
-1250,0.9002767314258067,0.03966007033900998
-1225,0.9392114968224033,0.04002087101215275
-1200,0.9308271409572779,0.04033529362788136
-1175,0.9004429264386686,0.04055076767392405
-1150,0.9560006875569704,0.040825837651832904
-1125,0.9720014550986327,0.04087051924408166
-1100,1.0091407063405538,0.04094532679912505
-1075,1.0418709953452105,0.04101108737393228
-1050,1.0341515122976306,0.040997800256870755
-1025,1.0304643438775167,0.04100483720439574
-1000,1.0344664089780726,0.04106397170076621
-975,1.0683093308619873,0.04124692192114449
-950,1.0734964894172232,0.04139163908412797
-925,1.063284790497378,0.041517862618225744
-900,1.001141935985802,0.04151046461103372
-875,0.9553148614534588,0.04151427638164915
-850,0.8942926401335344,0.04128550955237749
-825,0.8618271421564312,0.04109840535121232
-800,0.8376619579755071,0.04099597820290856
-775,0.818124676562079,0.04102336877066499
-750,0.8351551660269505,0.041295892141747344
-725,0.8569994969029813,0.04161460222810552
-700,0.8763016378005528,0.04181975810778064
-675,0.9063935135830496,0.04186191686786358
-650,0.9073393612991499,0.04164660628504003
-625,0.8804647246420528,0.04136676397784386
-600,0.8754994116265111,0.041179358154415646
-575,0.884133039914225,0.04104410182247671
-550,0.913501775345971,0.04112271842911339
-525,0.9395089536025681,0.04117288464370464
-500,1.019701724058529,0.04155164579922786
-475,1.0515225975253986,0.04193475966997238
-450,1.0864815930038658,0.04235478345335929
-425,1.0735475696037171,0.04269203752871491
-400,0.9892479756493959,0.042430215272323914
-375,0.9408530603652996,0.042078047056802695
-350,0.8786743587763807,0.0416622364555115
-325,0.8300307362418485,0.04125582411679404
-300,0.8243010578527625,0.04105021790277054
-275,0.8028486931463616,0.04097082913623617
-250,0.8079464047989313,0.04090543081561119
-225,0.8006355297563844,0.04086516380407318
-200,0.7928436759519664,0.04083837745166954
-175,0.7720635788094589,0.04073028003975236
-150,0.7628678101564961,0.040569937396687905
-125,0.769028282850092,0.04052486605138057
-100,0.761229445155353,0.04048139056940205
-75,0.7949400297315352,0.04061729993288293
-50,0.8292891833602737,0.04077697195726675
-25,0.8520827542110839,0.04081776872614487
0,0.8734759191736432,0.04075053887831859
25,0.847869749544233,0.040603013748651474
50,0.8407751958206349,0.04055395964274965
75,0.8338706061886559,0.04056131148730202
100,0.8852406595970397,0.04075066470234819
125,0.9138167578628599,inf
150,0.8631497829363436,inf
175,0.8623183129271689,inf
200,0.8119177183987367,inf
225,0.7669942378416595,inf
250,0.7594248822982538,inf
275,0.7295307354662248,inf
300,0.6985306373652266,inf
325,0.687617874574217,inf
350,0.6679088175425033,inf
375,0.6867828996231293,inf
400,0.6984941426855523,inf
425,0.710793475718532,inf
450,0.7467823056008591,inf
475,0.7848227079319234,inf
500,0.8200791484504032,inf
525,0.8520608293731498,inf
550,0.9265586524292931,inf
575,1.0074717034330458,inf
600,1.0895751244885765,inf
625,1.2289740394250213,inf
650,1.2992466372335505,inf
675,1.2979696996003829,inf
700,1.2641415146940236,inf
725,1.184146754323297,inf
750,1.1503211500122643,inf
775,1.083915921214998,inf
800,1.0557749694090182,inf
825,1.0398043240733483,inf
850,1.0172538993449156,inf
875,1.0606162215447366,inf
900,1.1325463966090088,inf
925,1.187140659882269,inf
950,1.2357981638604543,inf
975,1.2429309910662056,inf
1000,1.1849619012543224,inf
1025,1.1576535630237947,inf
1050,1.0995318031598755,inf
1075,1.055860704733794,inf
1100,1.0725559805648053,inf
1125,1.1117062358754641,inf
1150,1.1146693304394577,inf
1175,1.1494338167393119,inf
1200,1.1583614574878516,inf
1225,1.1015030068965275,inf
1250,1.0919031568557596,inf
1275,1.0921054542386321,inf
1300,1.085106905879809,inf
1325,1.1232328757470398,inf
1350,1.162188425953309,inf
1375,1.1681901082228194,inf
1400,1.1786820478466378,inf
1425,1.1940367459427461,inf
1450,1.17456624386565,inf
1475,1.1685501551102007,inf
1500,1.184511501497866,inf
1525,1.1667205086344443,inf
1550,1.1561210168118288,inf
1575,1.1770454464733102,inf
1600,1.1931586858855647,inf
1625,1.196789022648895,inf
1650,1.2559449861458027,inf
1675,1.3045680882394763,inf
1700,1.34140864810229,inf
1725,1.3774191505266453,inf
1750,1.373943203657825,inf
1775,1.3235913553929322,inf
1800,1.236276826081793,inf
1825,1.1751239582860682,inf
1850,1.139771601189938,inf
1875,1.1175532660727114,inf
1900,1.1428517294669607,inf
1925,1.1610427660691953,inf
1950,1.1724884318413191,inf
1975,1.1833267713248812,inf
