Velocity(km/s),Flux(Normalized),Error(1sigma)
-2000,1.0257390469394772,0.1386864869707569
-1975,1.1512156356595034,0.13812769008906653
-1950,1.1637968757626793,0.13794498936789584
-1925,1.1278454159806193,0.13797869934773607
-1900,1.1080580647950609,0.13809305483973047
-1875,1.0892584325960974,0.13834044125842163
-1850,1.0457299432737712,0.1385588642299315
-1825,1.0767450017667828,0.13905404995554058
-1800,1.1060587300031102,0.13997584945132457
-1775,1.0199257454762298,0.14122408317428298
-1750,0.947336046327281,0.1418759652957347
-1725,0.9269788064862177,0.14112090342108835
-1700,0.9908111987689082,0.1407239349678966
-1675,1.0002387124941916,0.14128966855428596
-1650,0.9856272238324144,0.14275346662707386
-1625,0.8422244305811103,0.14464527617341627
-1600,0.8503928448615721,0.14556168882061743
-1575,0.8536177646800807,0.14637182322401007
-1550,0.9803764075507024,0.1459672229375858
-1525,0.9997612875058086,0.14572122322267472
-1500,0.9317468408291799,0.14577925315450174
-1475,0.9993973216817857,0.14451898419318696
-1450,0.9751479280079816,0.1445638082387648
-1425,0.986605429643041,0.14437922619590526
-1400,0.9988571561684918,0.1442865612193787
-1375,0.9233901319018936,0.1454404819921334
-1350,0.9014974791993369,0.1455724868865962
-1325,0.967037866161782,0.14576722921435034
-1300,0.9500418425159021,0.1469070465262978
-1275,1.0211335950816527,0.14688761468614747
-1250,1.008722102949513,0.14789442786324394
-1225,1.0835960737416896,0.14814868452130733
-1200,1.0555768610974423,0.1493436817067693
-1175,1.0750690097788111,0.15003694694519745
-1150,1.1113634021232142,0.14988850074732912
-1125,1.1091734921790162,0.15023232237619077
-1100,1.0818941456576003,0.15028187575289584
-1075,0.9357236427483211,0.15139294898508512
-1050,0.971018456424431,0.15239895807862744
-1025,1.1058626308811534,0.15180352210030124
-1000,1.1474688108437987,0.1516149271951464
-975,1.1398188749399294,0.15118960622421942
-950,1.2034312418898558,0.15011330580557283
-925,1.1940058402126186,0.14980454389409276
-900,1.15473866644814,0.1496076236801555
-875,1.117286518247175,0.1490567663247554
-850,1.047134073857596,0.14903457724326882
-825,0.9866538202335121,0.14882164860129612
-800,1.1034635679799132,0.14888143561490508
-775,1.0831295561763596,0.14875046808991427
-750,1.048797594449846,0.1486596786590781
-725,1.1860174100521694,0.14739660487673092
-700,1.2643260795741664,0.14629803896777338
-675,1.210936138896469,0.1461963524659154
-650,1.2657492647253334,0.14685664132598625
-625,1.260234339514779,0.14741539983117963
-600,1.2050999890839997,0.14821412106075987
-575,1.258685808569275,0.14857587657087984
-550,1.3033657800802174,0.14813067215925677
-525,1.325667852742412,0.14831708070362093
-500,1.3475940159616464,0.14729532050725305
-475,1.3845742603892002,0.14776771310148942
-450,1.3605279807098174,0.148039823098694
-425,1.3003952637524514,0.1482542739123259
-400,1.3878124311313171,0.1483526153576442
-375,1.4329216696472165,0.14866179895881784
-350,1.2059955655849919,0.14907536632083787
-325,1.0866412089793376,0.1462804138039458
-300,0.853967349179791,0.13883936822214815
-275,0.5228223875852283,0.11963098053261419
-250,0.42738309912381334,0.10742052940625911
-225,0.38129668737460504,0.10219850750501797
-200,0.3543703495725613,0.10028802608266142
-175,0.3800487022259576,0.09956273940758223
-150,0.39679388881307714,0.09947723684690662
-125,0.37617962927609994,0.0989994355087984
-100,0.3403004109592145,0.09812502205890283
-75,0.33112006781391506,0.09685938341505232
-50,0.2760229400681142,0.09468229260997328
-25,0.181889605233546,0.0934520485000151
0,0.203534592870635,0.09317035444422897
25,0.2230049777368144,0.09361713188019662
50,0.23564484008052097,0.09493982930395582
75,0.364024982602849,0.10339803602029903
100,0.49970985209312857,0.11323959184664781
125,0.485925860013853,inf
150,0.4180827656167542,inf
175,0.2812348105148339,inf
200,0.19991197712493256,inf
225,0.23663072547004405,inf
250,0.21119011009034125,inf
275,0.21636500625395988,inf
300,0.20875103947409077,inf
325,0.20342369877965694,inf
350,0.16019280637283678,inf
375,0.16128662847024286,inf
400,0.1904441716334155,inf
425,0.20247643693482797,inf
450,0.19694937388768569,inf
475,0.2127995157657803,inf
500,0.2833875113830136,inf
525,0.3474561401738517,inf
550,0.3883058976398509,inf
575,0.3771822298295982,inf
600,0.3604780437976886,inf
625,0.3888459819007651,inf
650,0.3914302088825901,inf
675,0.5672658966480478,inf
700,0.7524808781229548,inf
725,0.8577578215481937,inf
750,0.878745084569197,inf
775,0.9388307799883152,inf
800,0.9168929486182724,inf
825,0.9498722591188632,inf
850,0.9240672305403488,inf
875,0.9641817258265587,inf
900,0.9848181957010061,inf
925,1.007017714405796,inf
950,1.0956627764773799,inf
975,1.10573156802701,inf
1000,1.172300617942487,inf
1025,1.1925478798981555,inf
1050,1.161893634509951,inf
1075,1.1361207316079383,inf
1100,1.1815684874161598,inf
1125,1.1078064546978754,inf
1150,1.1168452786502212,inf
1175,1.1070814612140782,inf
1200,1.1485435487077924,inf
1225,1.126006951691097,inf
1250,1.149721822814661,inf
1275,1.1119910629400187,inf
1300,1.2121686012484403,inf
1325,1.3040104460904358,inf
1350,1.2979171361356403,inf
1375,1.2552859655080313,inf
1400,1.2028595032621576,inf
1425,1.164725306376945,inf
1450,1.2141123607859725,inf
1475,1.176790873171283,inf
1500,1.14028307624324,inf
1525,1.1602510026397137,inf
1550,1.2162905634195784,inf
1575,1.17764320373338,inf
1600,1.1489303217862112,inf
1625,1.1216153369892765,inf
1650,1.0346845122464787,inf
1675,0.919892267683002,inf
1700,0.9334184203315029,inf
1725,0.9636723793154855,inf
1750,0.9174664303743504,inf
1775,0.9448998338557397,inf
1800,0.9377198704544693,inf
1825,0.9778982017858181,inf
1850,0.9522092390488349,inf
1875,0.9005408906024216,inf
1900,0.8968125575170817,inf
1925,1.0287128232079126,inf
1950,1.1432794210511195,inf
1975,1.1362593593414108,inf
